Grid_Cell,Year,Albedo,Conflict,Evap_mm,Humidity,NDVI,PET_mm,Rain_mm,Runoff_mm,SensHeat_Wm2,SoilM_mm,Temp_C,Wind_ms
Grid_Cell_103,2002,0.20688069,0,434.3024,0.005005447,0.2513845,2609.448,464.87628,0.002673024,37.823017,216.62526,10.603174,3.9801865
Grid_Cell_103,2003,0.19855879,0,391.1253,0.005436486,0.12973863,2261.0225,410.23154,0.009068791,35.598072,220.7772,9.662653,4.1182942
Grid_Cell_103,2004,0.16916464,0,420.91443,0.005933791,0.16789605,2324.3418,513.18164,0.001786247,36.691437,235.72478,11.020105,4.419613
Grid_Cell_103,2005,0.1743921,0,473.39362,0.0054615,0.1856169,2550.606,524.1294,0.002683254,26.874638,261.2644,11.859705,4.295509
Grid_Cell_103,2006,0.21350737,0,427.8546,0.005190308,0.17800196,2776.4226,432.8424,0.006788038,30.81642,228.81653,11.453211,4.307617
Grid_Cell_103,2007,0.16775568,0,404.0707,0.004790277,0.15104665,3116.6997,380.44833,0.000767,38.194374,207.49208,12.4265995,4.4110003
Grid_Cell_103,2008,0.16879554,0,408.63174,0.004987177,0.15237233,2670.837,379.83322,0.004867811,33.295067,186.17348,11.2677555,4.0546765
Grid_Cell_103,2009,0.17944497,0,430.72498,0.004688379,0.17188916,2819.4382,467.95428,0.002452517,31.718098,188.02356,11.399378,4.254208
Grid_Cell_103,2010,0.19732636,0,411.8093,0.004938229,0.18069324,2960.1887,455.5829,0.004910069,29.341343,216.3656,12.557276,4.4292836
Grid_Cell_103,2011,0.18544626,0,474.1188,0.004935155,0.17990725,2811.8086,442.17038,0.004252589,31.191442,207.90262,10.451288,4.61994
Grid_Cell_103,2012,0.24200645,0,381.53598,0.005186305,0.20469196,3073.2058,377.95166,0.009864586,31.121721,175.93645,11.514551,5.0374045
Grid_Cell_103,2013,0.1795249,0,347.8871,0.005003366,0.068977766,3164.247,328.15475,0.000519,39.669937,144.9833,12.249201,5.0066996
Grid_Cell_103,2014,0.1586261,0,296.74197,0.004533037,0.06828777,3435.2517,287.25302,0.000424,43.090527,118.54512,11.502863,5.3696465
