Grid_Cell,Year,Albedo,Conflict,Evap_mm,Humidity,NDVI,PET_mm,Rain_mm,Runoff_mm,SensHeat_Wm2,SoilM_mm,Temp_C,Wind_ms
Grid_Cell_103,2021,0.2602504,3528,538.4586,0.008004773,0.07036874,4932.7104,510.30432,0.003959887,54.64537,208.55283,28.94549,4.1600094
Grid_Cell_103,2022,0.2602504,3730,603.8243,0.008419147,0.07719441,4671.399,743.0864,0.009890219,50.60436,211.54396,27.908747,4.1329412
Grid_Cell_103,2023,0.2602504,3549,609.43207,0.008209449,0.077328,4837.9536,526.8726,0.002824123,48.210163,217.08437,29.355402,4.01831
Grid_Cell_103,2024,0.26031783,4400,627.30237,0.008555005,0.077109516,4803.218,758.62146,0.010164969,54.583134,204.25362,28.730951,4.113332
Grid_Cell_103,2025,0.26025,5521,589.4331,0.007743399,0.0753485,4874.4565,586.30664,0.00545371,52.10006,225.47115,29.099237,4.075755
Grid_Cell_104,2000,0.24405175,142,554.691,0.006075822,0.20091973,4602.576,471.66846,0.00106423,51.00288,217.36993,28.435907,2.6949224
Grid_Cell_104,2001,0.24398656,108,515.7282,0.008291389,0.18999247,4046.7332,575.505,0.001316904,51.05466,201.65135,28.412775,2.5848212
Grid_Cell_104,2002,0.24398656,139,497.91873,0.007555676,0.2166552,4366.9404,491.15594,0.001025986,55.26165,212.93993,29.512476,2.5505633
Grid_Cell_104,2003,0.24398656,183,553.648,0.008820787,0.20237331,4076.855,599.8363,0.001642435,50.927013,223.52846,28.804224,2.5089104
Grid_Cell_104,2004,0.24405737,202,558.0163,0.008208931,0.20013921,4135.902,573.88196,0.001632261,49.84956,226.61249,29.248926,2.580098
Grid_Cell_104,2005,0.24398656,114,567.89685,0.009155551,0.14571235,4052.911,592.1532,0.001768935,51.87156,230.30626,29.23327,2.6864676
Grid_Cell_104,2006,0.24398656,108,598.50433,0.008035061,0.12002878,4233.2476,633.9459,0.001751774,49.202087,231.82721,29.91186,2.6499457
Grid_Cell_104,2007,0.24398656,184,599.88116,0.008120996,0.2035531,4240.409,609.8296,0.001656719,49.203392,235.58116,29.779993,2.7824042
Grid_Cell_104,2008,0.24405737,177,552.057,0.008958536,0.1731806,4007.4658,649.3605,0.00286126,52.79861,236.13252,29.033442,2.7421422
Grid_Cell_104,2009,0.24398656,163,527.20575,0.008710177,0.24299262,4216.9478,482.5008,0.000991,50.324585,222.63069,30.400904,2.7887626
Grid_Cell_104,2010,0.24398656,329,567.39404,0.008737372,0.15683793,4275.0737,624.90314,0.004551887,51.223568,218.61159,30.476221,2.7698317
Grid_Cell_104,2011,0.24398656,283,543.44293,0.008372922,0.15910722,4758.6826,484.367,0.002637291,58.526817,208.87863,30.302057,3.4736383
Grid_Cell_104,2012,0.24405737,691,613.82104,0.008653808,0.24639522,4615.977,725.6296,0.00584669,50.77673,209.45934,30.610071,3.5621312
Grid_Cell_104,2013,0.24398656,739,554.1401,0.008092626,0.079171956,4776.7144,541.38995,0.004704596,53.611485,220.29248,31.375788,3.4902613
Grid_Cell_104,2014,0.24398656,959,501.86746,0.008276927,0.07844944,4802.7256,484.57977,0.003774925,57.098415,199.4795,31.275995,3.4827628
Grid_Cell_104,2015,0.24398656,955,526.10065,0.0076544,0.07587141,4920.2803,540.1415,0.003731007,58.060917,191.04012,29.951014,3.7008553
Grid_Cell_104,2016,0.24405737,792,276.84735,0.007964321,0.082942694,4898.7466,163.90427,0.000455,71.11258,147.47832,30.270685,3.6007402
Grid_Cell_104,2017,0.24398656,952,194.88437,0.007951393,0.08057119,5175.4854,191.78856,0.001095904,80.91679,90.57982,30.024103,3.9799829
Grid_Cell_104,2018,0.24398656,1402,186.25397,0.008198439,0.073921904,5127.747,188.72784,0.000609,85.35896,87.52535,30.162043,3.9980972
Grid_Cell_104,2019,0.24398656,1634,363.90878,0.008829646,0.06501057,4944.627,417.17377,0.003760171,72.82425,123.64449,29.489008,4.0221376
Grid_Cell_104,2020,0.24405737,2854,608.3279,0.008800962,0.0658849,5052.8867,643.24176,0.00582386,58.37955,225.49667,28.654474,4.297336
Grid_Cell_104,2021,0.24398656,3528,537.70593,0.008280355,0.070786744,5047.4805,512.16406,0.004178274,59.00204,215.30083,28.965235,4.309153
